
===== RESTART 0 =====
dbs_r0_start | Fitness = 2.2660e-04
dbs_r0_s0_p0_-1 | Fitness = 0.0000e+00
dbs_r0_s0_p0_1 | Fitness = 0.0000e+00
dbs_r0_s0_p1_-1 | Fitness = 0.0000e+00
dbs_r0_s0_p1_1 | Fitness = 3.2345e-04
dbs_r0_s1_p0_-1 | Fitness = 3.3083e-04
dbs_r0_s2_p0_-1 | Fitness = 3.8264e-04
dbs_r0_s3_p0_-1 | Fitness = 0.0000e+00
dbs_r0_s3_p0_1 | Fitness = 3.2670e-04
dbs_r0_s3_p1_-1 | Fitness = 7.1541e-05
dbs_r0_s3_p1_1 | Fitness = 0.0000e+00
dbs_r0_s3_p2_-1 | Fitness = 4.0422e-04
dbs_r0_s4_p0_-1 | Fitness = 0.0000e+00
dbs_r0_s4_p0_1 | Fitness = 3.3389e-04
dbs_r0_s4_p1_-1 | Fitness = 0.0000e+00
dbs_r0_s4_p1_1 | Fitness = 1.0209e-03
dbs_r0_s5_p0_-1 | Fitness = 6.5486e-05
dbs_r0_s5_p0_1 | Fitness = 5.6829e-04
dbs_r0_s5_p1_-1 | Fitness = 4.0083e-04
dbs_r0_s5_p1_1 | Fitness = 4.4470e-05
dbs_r0_s5_p2_-1 | Fitness = 1.0051e-03
dbs_r0_s5_p2_1 | Fitness = 0.0000e+00
dbs_r0_s5_p3_-1 | Fitness = 0.0000e+00
dbs_r0_s5_p3_1 | Fitness = 1.0028e-03
dbs_r0_s5_p4_-1 | Fitness = 0.0000e+00
dbs_r0_s5_p4_1 | Fitness = 7.6329e-05
dbs_r0_s5_p5_-1 | Fitness = 0.0000e+00
dbs_r0_s5_p5_1 | Fitness = 0.0000e+00
dbs_r0_s5_p6_-1 | Fitness = 1.5368e-03
dbs_r0_s6_p0_-1 | Fitness = 2.4896e-04
dbs_r0_s6_p0_1 | Fitness = 2.4896e-04
dbs_r0_s6_p1_-1 | Fitness = 0.0000e+00
dbs_r0_s6_p1_1 | Fitness = 1.9406e-03
dbs_r0_s7_p0_-1 | Fitness = 2.5248e-04
dbs_r0_s7_p0_1 | Fitness = 2.4896e-04
dbs_r0_s7_p1_-1 | Fitness = 1.5368e-03
dbs_r0_s7_p1_1 | Fitness = 1.9213e-03
dbs_r0_s7_p2_-1 | Fitness = 1.9213e-03
dbs_r0_s7_p2_1 | Fitness = 9.0894e-04
dbs_r0_s7_p3_-1 | Fitness = 9.1061e-04
dbs_r0_s7_p3_1 | Fitness = 1.8935e-03
dbs_r0_s7_p4_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p4_1 | Fitness = 6.9438e-04
dbs_r0_s7_p5_-1 | Fitness = 4.8157e-04
dbs_r0_s7_p5_1 | Fitness = 4.9042e-05
dbs_r0_s7_p6_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p6_1 | Fitness = 4.5592e-05
dbs_r0_s7_p7_-1 | Fitness = 3.1882e-04
dbs_r0_s7_p7_1 | Fitness = 1.5133e-04
dbs_r0_s7_p8_-1 | Fitness = 2.4610e-04
dbs_r0_s7_p8_1 | Fitness = 0.0000e+00
dbs_r0_s7_p9_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p9_1 | Fitness = 6.8004e-04
dbs_r0_s7_p10_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p10_1 | Fitness = 9.1740e-04
dbs_r0_s7_p11_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p11_1 | Fitness = 8.7192e-04
dbs_r0_s7_p12_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p12_1 | Fitness = 7.4358e-04
dbs_r0_s7_p13_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p13_1 | Fitness = 1.8391e-03
dbs_r0_s7_p14_-1 | Fitness = 1.8871e-03
dbs_r0_s7_p14_1 | Fitness = 2.7982e-04
dbs_r0_s7_p15_-1 | Fitness = 2.8991e-04
dbs_r0_s7_p15_1 | Fitness = 0.0000e+00
dbs_r0_s7_p16_-1 | Fitness = 9.6294e-04
dbs_r0_s7_p16_1 | Fitness = 2.3455e-04
dbs_r0_s7_p17_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p17_1 | Fitness = 4.5868e-04
dbs_r0_s7_p18_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p18_1 | Fitness = 1.3085e-03
dbs_r0_s7_p19_-1 | Fitness = 0.0000e+00
dbs_r0_s7_p19_1 | Fitness = 0.0000e+00

===== RESTART 1 =====
dbs_r1_start | Fitness = 0.0000e+00
dbs_r1_s0_p0_-1 | Fitness = 0.0000e+00
dbs_r1_s0_p0_1 | Fitness = 0.0000e+00
dbs_r1_s0_p1_-1 | Fitness = 0.0000e+00
dbs_r1_s0_p1_1 | Fitness = 0.0000e+00
dbs_r1_s0_p2_-1 | Fitness = 0.0000e+00
dbs_r1_s0_p2_1 | Fitness = 0.0000e+00
dbs_r1_s0_p3_-1 | Fitness = 0.0000e+00
dbs_r1_s0_p3_1 | Fitness = 0.0000e+00
dbs_r1_s0_p4_-1 | Fitness = 0.0000e+00
dbs_r1_s0_p4_1 | Fitness = 1.9558e-05
dbs_r1_s1_p0_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p0_1 | Fitness = 0.0000e+00
dbs_r1_s1_p1_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p1_1 | Fitness = 0.0000e+00
dbs_r1_s1_p2_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p2_1 | Fitness = 0.0000e+00
dbs_r1_s1_p3_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p3_1 | Fitness = 0.0000e+00
dbs_r1_s1_p4_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p4_1 | Fitness = 0.0000e+00
dbs_r1_s1_p5_-1 | Fitness = 0.0000e+00
dbs_r1_s1_p5_1 | Fitness = 0.0000e+00
dbs_r1_s1_p6_-1 | Fitness = 4.2071e-05
dbs_r1_s2_p0_-1 | Fitness = 0.0000e+00
dbs_r1_s2_p0_1 | Fitness = 7.7226e-04
dbs_r1_s3_p0_-1 | Fitness = 4.8021e-06
