# t (s)	mx ()	my ()	mz ()
0	0.9769555	0.1386381	0
1.0784620935593043e-11	0.85882574	0.47897524	0.00065007823
2.0114702275378758e-11	0.6610043	0.71999735	0.0019281122
3.084457583950026e-11	0.35299867	0.9013401	0.0035870858
4.0821473498932053e-11	0.025928428	0.9575426	0.004650796
5.047101196720222e-11	-0.2897286	0.9025897	0.0048334883
6.06237643807299e-11	-0.58193517	0.73609036	0.004115787
7.064601214480908e-11	-0.7955634	0.4826506	0.0029076987
8.00613451941447e-11	-0.9051385	0.19154961	0.0019028718
9.017610627765736e-11	-0.9108945	-0.14154044	0.0015088837
1.0051171096399914e-10	-0.7970061	-0.4611046	0.00205118
1.1003020198282695e-10	-0.5981934	-0.7009974	0.00318107
1.2005082423277082e-10	-0.3170779	-0.86740255	0.0045089573
1.305676961479295e-10	0.019469997	-0.92611796	0.0054330057
1.402099736520715e-10	0.32725945	-0.8694529	0.0054984633
1.5023065888373933e-10	0.60804754	-0.7057599	0.0047865403
1.6020474647518025e-10	0.814554	-0.45638585	0.0036778925
1.7006439351093876e-10	0.9224476	-0.15459415	0.002766564
1.8038642762368942e-10	0.9188091	0.1810803	0.0025225012
1.901134094894416e-10	0.80653936	0.47710586	0.003094404
2.0025361011914214e-10	0.59145486	0.7270066	0.0042619742
2.1032085631260242e-10	0.30552238	0.8856558	0.0054823095
2.2038650608768772e-10	-0.017095093	0.9360553	0.006219839
2.3040949095216446e-10	-0.33573255	0.87299275	0.0061448608
2.402571036572325e-10	-0.6090207	0.7084702	0.0053307684
2.504661772780854e-10	-0.816537	0.4512903	0.0041515897
2.6016517494439563e-10	-0.9186572	0.1544064	0.003286344
2.703117702035384e-10	-0.91357166	-0.17348997	0.0031010283
2.803667288007731e-10	-0.7966395	-0.47604445	0.003746502
2.90386813637246e-10	-0.584094	-0.7184094	0.004949544
3.0035229232485234e-10	-0.3038756	-0.87207705	0.006212144
3.1028649442085313e-10	0.009893436	-0.92089677	0.0070312982
3.200738446396258e-10	0.3162631	-0.8621134	0.007102095
3.301787518631752e-10	0.59226924	-0.69791937	0.006435993
3.4027786024135374e-10	0.79395896	-0.44916248	0.0054210923
3.50425646067079e-10	0.89722365	-0.14521936	0.004622638
3.601153896578822e-10	0.89135057	0.16047907	0.004451462
3.7041605818754685e-10	0.7747293	0.46232814	0.004975685
3.801526228185617e-10	0.5741165	0.6915961	0.0059074215
3.9026107555350794e-10	0.2989304	0.8440177	0.0068984856
4.003538099927748e-10	-0.009854394	0.89200675	0.0074794153
4.100196452603798e-10	-0.30256447	0.83584017	0.0074089244
4.201682374339444e-10	-0.5707106	0.67708695	0.0067447987
4.3029930602880083e-10	-0.76645917	0.4365641	0.0058958014
4.4045486675684676e-10	-0.8669467	0.14336777	0.005373806
4.5002470490224564e-10	-0.8632234	-0.14791724	0.0054623736
4.604142241168358e-10	-0.75241405	-0.442549	0.006189643
4.702141324259649e-10	-0.55954224	-0.6667393	0.007198435
4.803682649594423e-10	-0.29414335	-0.8167291	0.008133513
4.900530177722207e-10	-0.008793895	-0.86601627	0.00855173
5.001566075819314e-10	0.28754976	-0.81473225	0.008306139
5.101832144887001e-10	0.5455524	-0.66698307	0.0075192032
5.201738665833355e-10	0.7363288	-0.44196677	0.0066447617
5.30175800136564e-10	0.83851844	-0.16631074	0.00615541
5.402697118685578e-10	0.8396287	0.12904403	0.0063060434
5.503505273204474e-10	0.7390916	0.40505853	0.007047309
5.604105716727342e-10	0.5507908	0.62812954	0.008058117
5.700475076787985e-10	0.31003985	0.7682083	0.008884057
5.801302452414198e-10	0.024974093	0.821413	0.0092377085
5.901076336704098e-10	-0.25693956	0.7747036	0.00890016
6.000536376319557e-10	-0.5044704	0.6358452	0.008050072
6.10064636939878e-10	-0.69042337	0.4201887	0.0071550333
6.201452490791198e-10	-0.7913552	0.15271224	0.0067100115
6.301275058415447e-10	-0.7941233	-0.1296088	0.0069747423
6.40440650523924e-10	-0.6955727	-0.40314853	0.007912571
6.502957141134608e-10	-0.5173018	-0.61538225	0.009086008
6.600964537452967e-10	-0.27998006	-0.75427186	0.010071706
6.702796088247601e-10	0.00038885925	-0.80580187	0.0105002215
6.800084945820969e-10	0.26890528	-0.76111525	0.010181071
6.902170112654237e-10	0.51774794	-0.6212165	0.00930249
7.000928078424709e-10	0.69772625	-0.41146672	0.008418767
7.104464555817198e-10	0.7990647	-0.1400439	0.007960794
7.202357904050177e-10	0.80092645	0.13399774	0.008203282
7.300168734477638e-10	0.71132004	0.39247215	0.009031827
7.403197210200966e-10	0.5299825	0.61564493	0.010181225
7.501701573339585e-10	0.29441854	0.75672823	0.011084153
7.600323012360979e-10	0.025333181	0.8109651	0.011388272
7.70380834357743e-10	-0.25901437	0.7678217	0.010896319
7.802797864635803e-10	-0.50032586	0.6357342	0.009901334
7.902089214594033e-10	-0.6836604	0.4296482	0.008911536
8.00203704805529e-10	-0.7871312	0.17221516	0.008405618
8.101087080912602e-10	-0.79731214	-0.102176234	0.008625661
8.203678357652841e-10	-0.7100819	-0.37198597	0.009527342
8.300965764802572e-10	-0.54594094	-0.5840339	0.010669899
8.401944733164533e-10	-0.31239453	-0.7335653	0.01166356
8.502716596437852e-10	-0.043127242	-0.7939951	0.012010786
8.600103342415075e-10	0.22108482	-0.76152426	0.011576888
8.701790091046071e-10	0.46876523	-0.63663733	0.010585582
8.803186416825778e-10	0.6575004	-0.43492508	0.009593508
8.900295465511048e-10	0.7623631	-0.19233264	0.009113154
9.002109466637801e-10	0.7795539	0.083463825	0.009352682
9.10009616436973e-10	0.7049404	0.3379176	0.010216497
9.203223403788136e-10	0.5402934	0.56171566	0.01141519
9.300956840373208e-10	0.32203057	0.70742816	0.012347786
9.403223578316528e-10	0.05645986	0.77309066	0.012675197
9.500594969732388e-10	-0.20210487	0.74624777	0.012248322
9.602053909657285e-10	-0.44576576	0.6292177	0.011306029
9.703094087444534e-10	-0.63340396	0.4366452	0.01036582
9.803320541725065e-10	-0.7428468	0.19378644	0.009893658
9.902949805818438e-10	-0.7629469	-0.06974286	0.010111543
1.0002674270208578e-09	-0.6925235	-0.3239866	0.010940849
1.0102550031543694e-09	-0.54031235	-0.53891295	0.012041965
1.020279350473076e-09	-0.32411224	-0.68954986	0.012940613
1.0304291497853717e-09	-0.06693625	-0.75794613	0.013213698
1.0400426204543448e-09	0.18405558	-0.73740256	0.012774842
1.0503729289719315e-09	0.43012133	-0.62565005	0.011823782
1.0602726409650028e-09	0.61504173	-0.4442159	0.010915195
1.07020518766881e-09	0.72845626	-0.21039383	0.0104442295
1.080115903752322e-09	0.75623226	0.04722359	0.010643131
1.0900570219465545e-09	0.69530475	0.29946125	0.011459698
1.1003660676778228e-09	0.5464851	0.5228429	0.0126177585
1.1100912769115543e-09	0.34327242	0.67317104	0.0135364095
1.1201463971524469e-09	0.093813285	0.74908525	0.013880115
1.1301472404670617e-09	-0.16489159	0.735927	0.013477597
1.1401915252397993e-09	-0.4047262	0.6354116	0.012568311
1.1502301049775317e-09	-0.5959731	0.45944393	0.011611876
1.1602399706869396e-09	-0.7157042	0.22971736	0.011068769
1.170252911935431e-09	-0.7503373	-0.026811602	0.011215722
1.1801492190376032e-09	-0.69700444	-0.27656648	0.011998093
1.1900654568007252e-09	-0.56296337	-0.49378908	0.013111941
1.200334099202419e-09	-0.35638314	-0.65739155	0.0141167985
1.2103535941275114e-09	-0.112838514	-0.73810244	0.0144971395
1.220370526496928e-09	0.14304239	-0.7315445	0.014146662
1.2303705810713621e-09	0.3807973	-0.63909817	0.013272191
1.2400493487081137e-09	0.56779647	-0.47825295	0.012323403
1.2503105116448038e-09	0.6965543	-0.25131783	0.011673804
1.260364220021842e-09	0.73846716	0.00018859528	0.011696064
1.2701085310821474e-09	0.6952325	0.24259631	0.012364367
1.2803792947765143e-09	0.56671536	0.46653873	0.013483921
1.2903029495360423e-09	0.37721157	0.6270932	0.01449013
1.3003533805555381e-09	0.14281656	0.7153377	0.014966405
1.3103029642747338e-09	-0.104239	0.7194917	0.014708705
1.3203447280163717e-09	-0.33969346	0.6397781	0.013874693
1.3302566821609235e-09	-0.5316366	0.48802522	0.012898641
1.3401502742302864e-09	-0.6613764	0.28196812	0.012228165
1.3500478612276852e-09	-0.7148557	0.045224532	0.012181017
1.360104627903591e-09	-0.68537736	-0.19844018	0.012831996
1.370209979001171e-09	-0.5751652	-0.4176074	0.01393445
1.3800382168484576e-09	-0.4037072	-0.5818417	0.014973837
1.3900960057671487e-09	-0.1833293	-0.68133	0.015532433
1.4002516574044745e-09	0.059087235	-0.70041627	0.015355517
1.4103816107441774e-09	0.29217905	-0.636305	0.014562683
1.4201362337542117e-09	0.48260897	-0.5035634	0.013599502
1.4303205357315026e-09	0.623015	-0.30718067	0.012866797
1.4403653001540984e-09	0.6872095	-0.07892988	0.012781757
1.4503947487709755e-09	0.67085767	0.1560498	0.013420539
1.4603008693179815e-09	0.5785981	0.36830506	0.014518678
1.4702726607334825e-09	0.42080137	0.5380548	0.015618433
1.4802873622833765e-09	0.21543579	0.64530164	0.016234662
1.4904051378084587e-09	-0.015456222	0.6773305	0.016112018
1.5003085338746038e-09	-0.23820387	0.63126093	0.015362595
1.5101112897787786e-09	-0.43081164	0.5157113	0.014359958
1.5203697506022408e-09	-0.5796296	0.33456737	0.013519369
1.5300628582625982e-09	-0.6547038	0.12659073	0.013299444
1.5401254171768504e-09	-0.65656537	-0.10220079	0.013787683
1.550042574685302e-09	-0.5828872	-0.3145961	0.014768886
1.560362959421151e-09	-0.43626598	-0.49587786	0.01585139
1.5703579152161004e-09	-0.24342038	-0.6122583	0.016505422
1.5802035775671638e-09	-0.026562983	-0.65689224	0.01652736
1.5902335862404059e-09	0.1964975	-0.62597674	0.015967589
1.6004052937027904e-09	0.3984931	-0.5197809	0.015110262
1.6101171970219018e-09	0.54634637	-0.35966998	0.014416823
