# t (s)	mx ()	my ()	mz ()
0	0.9996753	0.0022539415	0
1.0776414162666604e-11	0.9278506	0.37207964	0.0008755775
2.0663473437768713e-11	0.7457079	0.6657492	0.0027198948
3.0100289352767584e-11	0.4887602	0.8719636	0.0046604825
4.029656759636623e-11	0.15295883	0.98778045	0.0060731303
5.0195772277148125e-11	-0.19170381	0.98098063	0.006182013
6.04447208516405e-11	-0.52412945	0.851105	0.0049529914
7.044503343618907e-11	-0.78463763	0.61923224	0.0030419524
8.008973623098063e-11	-0.94582343	0.3233053	0.00143903
9.015360847681333e-11	-0.99927187	-0.024435654	0.00085050537
1e-10	-0.9317388	-0.36202615	0.0016405322
